serial number,credit_amount
1,2504.676
2,2354.3088
3,4023.1997
4,1454.3866
5,2836.199
6,7050.116
7,894.5673
8,1073.2202
9,8855.484
10,1960.9465
11,1406.1213
12,894.5673
13,4929.834
14,6266.025
15,5728.945
16,5484.2773
17,1922.8704
18,2763.1057
19,7977.422
20,1271.137
21,1406.1213
22,1466.1194
23,5484.2773
24,854.0519
25,3101.4443
26,1958.5842
27,3326.9854
28,3373.6409
29,5007.7075
30,6835.715
31,2180.8943
32,1874.6133
33,5484.2773
34,4301.177
35,1639.7783
36,1454.3866
37,1148.736
38,1922.8704
39,3026.215
40,1827.4153
41,3823.0635
42,3505.9106
43,1493.447
44,2180.8943
45,2180.264
46,4301.177
47,3373.6409
48,1577.418
49,1714.9137
50,1073.2202
51,1478.3293
52,3887.077
53,1778.1685
54,2504.0457
55,7050.116
56,1577.418
57,929.5676
58,1778.1685
59,2009.5977
60,2228.521
61,2645.0488
62,1652.3032
63,1799.7279
64,3062.0903
65,2047.4287
66,2342.1128
67,1874.6133
68,2647.7634
69,4683.926
70,1148.736
71,7050.116
72,1907.353
73,1799.7279
74,767.5696
75,2897.761
76,1148.736
77,3980.8743
78,3823.0635
79,2785.8308
80,5104.4707
81,4253.0464
82,5146.498
83,3062.0903
84,1874.6133
85,3041.756
86,1148.736
87,2504.676
88,8632.216
89,6156.665
90,4768.273
91,4670.0884
92,1454.3866
93,1454.3866
94,5790.696
95,2180.264
96,6156.665
97,3407.7253
98,2009.5977
99,2836.199
100,3623.6384
101,3106.8325
102,3920.0103
103,5484.2773
104,545.2595
105,3026.559
106,3091.6355
107,3710.9387
108,5261.9673
109,3368.526
110,2617.0305
111,3441.8972
112,3842.1074
113,5104.4707
114,2601.108
115,2180.8943
116,10437.582
117,3323.8394
118,3434.7256
119,4023.1997
120,3407.7253
121,2198.395
122,7738.764
123,1790.4293
124,2315.2483
125,4301.177
126,1454.3866
127,1874.6133
128,6835.715
129,3443.2566
130,1073.2202
131,2430.8918
132,929.5676
133,1714.9137
134,1454.3866
135,1148.736
136,6252.176
137,1088.0948
138,2900.0083
139,6031.808
140,5512.467
141,3472.8018
142,1714.9137
143,2180.8943
144,1535.8748
145,1148.736
146,7247.468
147,2504.676
148,3004.9993
149,1422.0459
150,3842.1074
151,2513.165
152,7050.116
153,3887.077
154,6156.665
155,1148.736
156,3407.7253
157,3122.0886
158,2047.4287
159,4304.119
160,2504.676
161,1227.0825
162,4023.1997
163,2639.03
164,3041.756
165,795.4788
166,3443.2566
167,3443.2566
168,2375.567
169,6347.5513
170,2447.6895
171,1073.2202
172,4023.1997
173,4273.1973
174,6281.8057
175,3443.2566
176,2720.5881
177,1230.2241
178,2180.264
179,2180.8943
180,1639.5479
181,5104.4707
182,7738.764
183,4527.0703
184,5484.2773
185,3842.1074
186,1148.736
187,5163.1094
188,1960.9465
189,4576.828
190,2180.8943
191,2647.7634
192,1454.3866
193,2845.6802
194,6156.665
195,1454.3866
196,1628.4314
197,5515.4087
198,1454.3866
199,5253.6157
200,4683.926
