iter	Passed	Remaining
0	49	12445
1	60	7445
2	63	5233
3	69	4254
4	78	3855
5	85	3475
6	89	3095
7	93	2819
8	97	2604
9	104	2516
10	110	2396
11	119	2379
12	124	2268
13	131	2210
14	148	2329
15	558	8172
16	583	7997
17	593	7650
18	597	7269
19	613	7058
20	618	6739
21	623	6466
22	627	6192
23	661	6226
24	668	6019
25	672	5796
26	680	5617
27	683	5418
28	687	5238
29	691	5072
30	758	5357
31	774	5279
32	785	5166
33	789	5018
34	817	5021
35	823	4892
36	828	4769
37	832	4642
38	837	4532
39	842	4424
40	847	4320
41	1012	5014
42	1029	4958
43	1035	4846
44	1066	4858
45	1074	4765
46	1078	4659
47	1084	4563
48	1088	4464
49	1092	4370
50	1102	4302
51	1106	4213
52	1113	4139
53	1123	4079
54	1131	4010
55	1282	4443
56	1303	4413
57	1334	4419
58	1366	4425
59	1379	4367
60	1384	4288
61	1393	4226
62	1398	4152
63	1415	4114
64	1427	4062
65	1433	3995
66	1449	3958
67	1490	3990
68	1503	3943
69	1508	3879
70	1519	3831
71	1670	4128
72	1692	4102
73	1705	4055
74	1715	4003
75	2551	5840
76	2602	5846
77	2612	5761
78	2641	5718
79	2675	5685
80	2706	5647
81	2742	5619
82	2881	5797
83	2927	5784
84	3288	6383
85	4219	8047
86	5151	9651
87	6061	11157
88	7036	12729
89	7106	12634
90	7817	13659
91	7870	13516
92	8876	14984
93	9826	16307
94	10894	17775
95	11954	19176
96	12870	20301
97	13878	21526
98	13940	21263
99	14926	22390
100	15799	23308
101	16856	24457
102	17871	25505
103	18696	26246
104	19767	27297
105	20793	28247
106	21906	29277
107	22730	29886
108	23660	30606
109	24612	31324
110	25636	32103
111	26591	32765
112	27668	33544
113	28583	34099
114	29546	34684
115	30614	35364
116	31427	35724
117	32382	36224
118	33421	36791
119	34424	37293
120	35268	37600
121	36231	38013
122	37255	38466
123	38161	38776
124	39109	39109
125	40037	39401
126	41047	39754
127	41991	40023
128	42944	40281
129	44037	40650
130	45088	40957
131	46151	41256
132	47151	41479
133	48250	41769
134	49022	41759
135	49982	41897
136	50791	41894
137	51582	41864
138	52726	42105
139	53615	42126
140	54514	42142
141	55612	42296
142	56608	42357
143	57626	42419
144	58537	42389
145	59546	42416
146	60628	42481
147	61700	42523
148	62607	42438
149	63578	42385
150	64574	42336
151	65627	42312
152	66605	42226
153	67565	42118
154	68529	42001
155	69623	41952
156	70599	41820
157	71609	41696
158	72623	41564
159	73453	41317
