serial number,credit_amount
1,2839.446802822708
2,2904.5061581822433
3,2990.732346674823
4,2433.0438989004765
5,2783.3112995984243
6,4590.9869766535985
7,2396.134645931753
8,2410.6897464572135
9,5223.039547243697
10,2696.538219817682
11,2468.363559317345
12,2396.134645931753
13,4103.8768456954185
14,4784.518626984466
15,4157.029347695761
16,4058.3915760356977
17,2669.1191498054272
18,2687.8503795479683
19,4127.938164884129
20,2499.221790072234
21,2503.8221575629077
22,2532.9150736895585
23,4058.3915760356977
24,2329.7572711004827
25,3214.4490582410617
26,2740.8466600151546
27,3305.19573536594
28,3353.165506992874
29,3910.4617537362687
30,4337.690188960183
31,2984.635226489166
32,2662.9113902977315
33,4981.03988112494
34,3274.908868175513
35,2696.538219817682
36,2428.7933777284206
37,2376.4512537459664
38,2586.435832087833
39,2987.0340944549566
40,2637.3869044107096
41,3540.170471795992
42,3104.7170791880426
43,2489.8982995079227
44,2984.635226489166
45,2836.9747076182057
46,3577.749451454059
47,3284.388648396435
48,2589.395697374598
49,2535.039647336867
50,2309.1471584205233
51,2554.010191007751
52,3248.517454802828
53,2598.5481490261614
54,2676.3638275838957
55,4369.1078892643545
56,2676.7975943939086
57,2419.9602211643482
58,2709.016494011578
59,2615.701496675935
60,2828.0470380027778
61,2956.4976284863656
62,2702.6903899000467
63,2700.2255613796615
64,3896.675993883663
65,2747.7752070024176
66,2805.998358376017
67,2549.514827418207
68,2865.420030838198
69,3868.4976601483645
70,2357.780471743464
71,4369.1078892643545
72,2768.8580297971303
73,2853.868992281992
74,2360.9436588706594
75,2880.350657288008
76,2405.522047480538
77,3358.0643642100167
78,3540.170471795992
79,2991.3440620260976
80,4058.3915760356977
81,3649.845095349272
82,3440.0633784256393
83,3390.8468416236956
84,2541.609688654504
85,3023.944261279992
86,2335.7707682075525
87,2879.9416593287415
88,5101.173227302515
89,3837.7718196731144
90,4253.245701306584
91,4090.548954120212
92,2603.0910848639915
93,2413.334614505726
94,4453.518002859859
95,2759.6516968930773
96,4309.059538866106
97,3057.1539585980972
98,2543.6886721524147
99,2886.4227549044035
100,3353.165506992874
101,3524.802313093506
102,3274.908868175513
103,4058.3915760356977
104,2432.235968000942
105,3057.1539585980972
106,3531.664344203594
107,3271.9609964598517
108,3993.5692119561886
109,2864.3285233646934
110,2703.523147001324
111,3358.378462809634
112,3029.972690305561
113,3993.5692119561886
114,2869.6700391070854
115,2890.0675711685444
116,5165.627806650301
117,2867.2217075305957
118,3873.968854200075
119,3037.1122964189512
120,3300.553943370314
121,2668.231180918461
122,4447.613260510522
123,2435.6762843468427
124,2732.328822986246
125,3274.908868175513
126,2555.154105418353
127,2638.57809315595
128,4265.190184164564
129,3817.9543769880324
130,2402.812597309051
131,2838.73751895788
132,2401.040111249176
133,2606.545976030334
134,2555.154105418353
135,2371.0749951456405
136,3668.157697758761
137,2461.893378747271
138,3044.1579517958107
139,4157.029347695761
140,4152.44203128575
141,3873.968854200075
142,2604.0920003779406
143,3059.2833296269246
144,2636.4248473292187
145,2483.5279305129693
146,5053.539885920559
147,2936.6552322745124
148,3146.242819030052
149,2578.917451730646
150,3407.450595500705
151,2956.273345103743
152,4590.9869766535985
153,3051.609930067347
154,3950.8968709588585
155,2525.3520287341503
156,3300.553943370314
157,3335.5109182463325
158,2738.269758337249
159,3829.0531633121564
160,2896.160375768479
161,2501.935258339009
162,3065.5761997316345
163,2682.703801035114
164,3254.891568504519
165,2409.9390548478796
166,3482.301945097166
167,3472.6217031455903
168,3146.242819030052
169,4890.281381910285
170,2824.5789866473006
171,2371.7716069558437
172,3271.9609964598517
173,3068.1841389681713
174,4157.029347695761
175,3906.3562358352387
176,2852.789444252131
177,2554.386313241579
178,2667.066834959336
179,2793.546376397314
180,2675.065464114623
181,4058.3915760356977
182,4909.187051432938
183,3717.0459941775403
184,3941.901216388867
185,3304.6280974231963
186,2563.50563678533
187,4591.481947347329
188,2696.6424535237725
189,3187.2658161447976
190,2758.0382123985955
191,2821.9113826484217
192,2439.230476367622
193,3013.8990504603403
194,4203.6740054059555
195,2527.432772230787
196,2512.1128003561735
197,4090.548954120212
198,2361.7007281281667
199,4265.190184164564
200,4821.082180873645
