serial number,credit_amount
1,2509.4553
2,2102.7905
3,3340.222
4,1512.6051
5,3716.0884
6,6584.382
7,990.932
8,1280.4685
9,11587.018
10,2320.6406
11,739.84595
12,946.6913
13,5369.7783
14,2199.5063
15,5114.5825
16,5548.3613
17,950.2928
18,2872.2078
19,7054.6855
20,1466.2216
21,538.0776
22,1878.0375
23,4251.6396
24,902.34924
25,4254.7007
26,1074.5524
27,3860.5369
28,4782.1304
29,5715.672
30,7344.09
31,2367.0796
32,1796.0348
33,8060.7246
34,3783.1318
35,2186.494
36,2235.9585
37,1277.4062
38,1609.9391
39,3005.773
40,1434.0227
41,3930.2834
42,3725.6392
43,1426.4192
44,2729.5823
45,1481.532
46,5382.665
47,4342.7197
48,1296.4691
49,2033.6503
50,1609.7551
51,2107.6992
52,5314.876
53,1897.4938
54,1829.6951
55,5991.9756
56,1126.1932
57,948.9995
58,2086.7004
59,1488.7863
60,2351.078
61,2436.0396
62,1507.6843
63,1767.7777
64,3405.5754
65,1932.0696
66,1992.1895
67,2346.6372
68,3120.0256
69,4645.268
70,1201.2478
71,5314.2915
72,1575.1589
73,2591.0122
74,1416.4874
75,2398.475
76,697.6866
77,6498.68
78,3213.5444
79,4469.582
80,5460.5654
81,5372.616
82,6007.339
83,2975.3074
84,894.10504
85,3388.9626
86,934.89185
87,4140.2026
88,8532.415
89,5906.8354
90,4767.837
91,4747.2437
92,1584.4298
93,1910.7188
94,6660.9795
95,2577.239
96,7690.045
97,2998.3984
98,1963.3411
99,2950.6316
100,3355.7722
101,3659.8274
102,4630.235
103,7385.6973
104,678.07764
105,2145.8105
106,2845.7236
107,3446.236
108,4538.018
109,3529.1746
110,2295.4053
111,2934.5393
112,3640.7632
113,3848.924
114,2389.189
115,2706.8967
116,6376.8164
117,2766.982
118,4650.664
119,3579.5989
120,4328.7295
121,1452.2838
122,6435.0684
123,1586.6587
124,2885.3547
125,4175.363
126,1462.9565
127,2130.2847
128,6273.4746
129,3481.466
130,1653.9375
131,2985.8372
132,988.7634
133,1687.4742
134,940.57086
135,1428.473
136,4892.2427
137,1584.0896
138,1357.3694
139,7626.5386
140,7229.783
141,5356.25
142,1461.4385
143,4100.1772
144,2052.803
145,2250.007
146,8539.64
147,3552.9592
148,4045.7654
149,730.8951
150,3311.4695
151,1842.809
152,6676.93
153,3073.4512
154,4612.573
155,1436.5106
156,3389.9177
157,3197.8857
158,1554.0538
159,3330.4548
160,2926.7183
161,1005.4797
162,4291.141
163,2673.6855
164,2530.435
165,1080.4918
166,2454.1697
167,1921.5338
168,1685.9371
169,6392.722
170,3206.2131
171,1373.2483
172,4727.631
173,4777.427
174,7986.7847
175,2805.7407
176,1973.87
177,1419.0199
178,1775.8748
179,1989.9
180,2084.95
181,5373.0317
182,8365.634
183,4219.535
184,5278.038
185,4220.899
186,1664.9507
187,5420.5337
188,1015.0815
189,5209.968
190,1620.7535
191,3243.5461
192,763.3365
193,2249.1636
194,5446.782
195,1718.2268
196,1373.6434
197,4475.0195
198,1344.1112
199,5201.1426
200,6724.301
