serial number,credit_amount
1,1490.9463
2,1172.1301
3,4065.0403
4,1725.0576
5,1185.2797
6,6993.6396
7,879.0583
8,1860.8625
9,9986.003
10,2276.0374
11,878.16504
12,823.5505
13,7076.14
14,4629.6904
15,5909.6274
16,6330.4453
17,1256.502
18,2047.5227
19,6841.677
20,1690.5374
21,1222.5646
22,1993.7435
23,5285.291
24,1426.4021
25,4126.0186
26,894.24677
27,1332.8851
28,4023.5159
29,5776.6875
30,7612.658
31,1963.7253
32,1375.2385
33,8448.412
34,3113.3364
35,1069.6521
36,1341.7382
37,1668.3893
38,2114.272
39,2930.2732
40,2014.2263
41,3725.691
42,3490.277
43,731.2126
44,1630.1925
45,2020.3035
46,4472.6123
47,3586.6433
48,1632.2142
49,1927.2242
50,1280.6619
51,1606.6604
52,4678.2607
53,2962.1128
54,1553.2178
55,5857.7446
56,1917.6941
57,2235.4348
58,3327.9473
59,1680.5717
60,3228.7827
61,4306.3364
62,1587.9482
63,2883.0369
64,3954.7166
65,2102.8416
66,1778.9955
67,3330.409
68,2518.3933
69,5203.763
70,1104.4692
71,3816.7996
72,1061.1235
73,3083.8809
74,1250.4072
75,2186.2712
76,2216.9905
77,3908.9744
78,2213.6526
79,1849.6256
80,5460.7446
81,3491.2227
82,4914.099
83,2763.9065
84,1357.6746
85,2495.4326
86,890.644
87,2653.0593
88,11449.4375
89,5759.245
90,6116.6387
91,5266.906
92,3036.889
93,1017.00775
94,6706.0156
95,3180.0369
96,11546.183
97,3264.5247
98,1630.8499
99,3537.2493
100,2776.0413
101,3356.5745
102,4360.4707
103,7150.468
104,1277.1831
105,1952.5756
106,2240.8315
107,3390.3618
108,3192.0962
109,5280.658
110,1747.0328
111,2409.7585
112,3229.41
113,3053.3486
114,1496.2771
115,3823.3274
116,11023.744
117,3006.994
118,4321.3394
119,3404.1785
120,5399.307
121,1904.9478
122,4592.0977
123,1228.3724
124,3878.3923
125,5752.1357
126,1113.0239
127,2208.39
128,5990.1973
129,2857.274
130,1348.5894
131,2284.467
132,1335.5874
133,2567.886
134,1690.5759
135,1906.9425
136,1454.483
137,1043.7097
138,741.69336
139,7314.9834
140,6968.2783
141,7499.913
142,1344.0284
143,7129.6562
144,1563.1443
145,2048.976
146,10964.02
147,4680.198
148,1653.0641
149,1937.0702
150,3473.5898
151,1409.2773
152,6970.826
153,4440.336
154,4391.5996
155,1692.5857
156,2793.4163
157,4284.568
158,1547.2502
159,4126.4395
160,4427.8594
161,1021.94086
162,4596.0244
163,2124.572
164,2955.6077
165,657.84467
166,2112.6917
167,2323.8118
168,1864.9197
169,6446.192
170,2974.7805
171,1855.0009
172,5515.2773
173,3585.1348
174,7258.158
175,2789.41
176,1573.9412
177,1247.6633
178,1745.3904
179,2076.7112
180,3039.7231
181,4957.9043
182,9506.021
183,3390.7673
184,4758.3486
185,3845.45
186,1656.0625
187,7820.0303
188,1983.4148
189,2980.986
190,2093.4316
191,2532.696
192,1344.2891
193,2262.4014
194,5912.8525
195,2040.5127
196,1609.3906
197,5363.767
198,1529.1658
199,4225.12
200,7139.695
