serial number,credit_amount
1,2050.8643
2,2517.976
3,3108.0706
4,1376.626
5,2637.5796
6,6273.2617
7,711.89343
8,1154.8254
9,10039.815
10,1989.7137
11,1444.297
12,305.54785
13,4865.079
14,5879.7837
15,4910.3745
16,5330.77
17,2504.715
18,2586.8008
19,7523.874
20,1158.897
21,873.96344
22,1143.5101
23,5292.8516
24,991.5266
25,3643.6663
26,2049.2834
27,2465.2632
28,3560.6895
29,4949.724
30,8184.0996
31,2605.2996
32,2187.9456
33,7469.6094
34,4186.7764
35,1604.8607
36,1764.5977
37,1152.3455
38,2039.6986
39,3076.2976
40,2030.3657
41,3806.8882
42,3236.0107
43,1455.4573
44,2458.5796
45,1975.8569
46,4431.9385
47,3585.4355
48,1477.428
49,1424.81
50,682.6203
51,1523.4592
52,4054.2534
53,2770.012
54,1772.2311
55,6276.6074
56,1524.9949
57,1002.44806
58,3275.2053
59,1906.7384
60,2819.0469
61,2867.4614
62,1994.8428
63,1739.5269
64,3402.227
65,1756.7295
66,2041.3894
67,1758.2505
68,2068.4954
69,4678.032
70,754.0394
71,5544.8706
72,2532.0984
73,2630.6191
74,1199.5227
75,2820.054
76,1376.0668
77,5369.8633
78,3775.4343
79,4223.2817
80,5281.6133
81,4751.1743
82,5958.5273
83,3516.0647
84,1206.8041
85,3281.2524
86,757.2116
87,4446.003
88,8871.726
89,4913.13
90,4840.931
91,4584.644
92,1787.122
93,1020.5509
94,5726.89
95,2905.6545
96,6201.762
97,2508.0125
98,1246.9938
99,2409.7595
100,3514.8708
101,2929.937
102,3105.9604
103,5932.49
104,1067.5503
105,2152.1926
106,2601.693
107,3679.2554
108,5112.662
109,4084.7039
110,2467.2646
111,3023.0632
112,3417.8916
113,4737.782
114,3234.5603
115,2820.52
116,9495.557
117,2504.1836
118,3952.0134
119,4336.4043
120,3563.3245
121,2026.3583
122,6005.6562
123,1088.2926
124,3181.9224
125,3885.636
126,1621.6335
127,1773.0137
128,7108.17
129,4009.871
130,1054.2286
131,2885.3298
132,1564.4595
133,1767.3198
134,1204.8824
135,924.3618
136,4111.022
137,783.79846
138,1943.4473
139,6169.6416
140,5658.0366
141,4061.9382
142,1461.7958
143,2771.9375
144,1964.2697
145,1119.0452
146,7717.753
147,3736.5452
148,3540.7578
149,1400.0398
150,3673.328
151,2333.6797
152,6516.8706
153,4077.9656
154,4432.583
155,1237.0356
156,2406.905
157,3421.0537
158,1745.8818
159,4418.1567
160,2441.3506
161,1226.2299
162,4142.101
163,2519.62
164,2802.2612
165,779.86957
166,3476.5986
167,3686.092
168,1624.938
169,7069.209
170,3152.544
171,1611.5881
172,4306.367
173,4592.2
174,8130.9233
175,3479.5984
176,2270.5154
177,1296.9281
178,2595.563
179,2279.7097
180,1750.5465
181,5252.6016
182,8083.321
183,3798.74
184,5824.066
185,4010.306
186,1183.9375
187,6106.41
188,1211.935
189,5233.0205
190,1984.8052
191,2661.5916
192,980.29297
193,2649.382
194,5177.79
195,1803.5951
196,851.43146
197,5497.8174
198,1063.9661
199,6177.253
200,5300.524
