serial number,credit_amount
1,1839.3063
2,1929.7726
3,3127.8508
4,1758.7544
5,4176.651
6,4750.7905
7,777.6071
8,999.5668
9,17708.725
10,1580.9336
11,891.9387
12,952.14874
13,4197.7354
14,4964.6567
15,3257.97
16,3031.513
17,1564.7982
18,2581.1638
19,7714.1484
20,1157.211
21,1364.2745
22,1661.5812
23,4126.063
24,553.12854
25,4075.3103
26,1916.5233
27,3078.8765
28,2990.919
29,4720.2437
30,5410.692
31,3123.5703
32,1394.2778
33,11813.644
34,3207.943
35,2163.406
36,882.43805
37,1151.7468
38,1588.5688
39,1655.5721
40,1341.9122
41,4349.8857
42,3950.7249
43,948.90125
44,3013.2273
45,2386.1802
46,4812.296
47,2862.0156
48,1742.3405
49,2395.9421
50,1303.2314
51,1792.6493
52,4023.969
53,2471.9834
54,1646.1558
55,6060.9937
56,1896.7856
57,595.3924
58,3745.533
59,1851.928
60,2507.7478
61,2699.2563
62,1791.7007
63,2088.1602
64,4508.162
65,1942.7576
66,1859.1301
67,1910.3501
68,4033.4668
69,4272.176
70,1339.953
71,3794.2405
72,1546.2183
73,2355.418
74,1064.755
75,2460.8906
76,1180.4734
77,4988.1963
78,3377.8035
79,3991.1162
80,5741.4663
81,4140.5137
82,4969.5073
83,3219.5896
84,665.4925
85,3153.8623
86,1087.1796
87,2790.7598
88,8640.326
89,4474.9136
90,4713.9097
91,5968.3926
92,1351.8824
93,1033.6576
94,5944.058
95,2611.1067
96,7493.47
97,2848.7244
98,1949.1229
99,3311.1697
100,3976.216
101,3077.984
102,3803.1162
103,8381.698
104,1045.9996
105,2357.872
106,2405.6362
107,3125.674
108,4242.9497
109,3604.3667
110,2618.473
111,2681.1638
112,3521.5635
113,4377.702
114,4258.622
115,2478.9216
116,5441.118
117,2875.3582
118,1780.9359
119,4134.319
120,4109.138
121,1984.2402
122,4873.7046
123,1303.0165
124,3067.4639
125,3245.7634
126,1044.3818
127,1729.4426
128,3456.2244
129,3722.5854
130,1120.6927
131,3477.8682
132,966.97876
133,1556.7249
134,1301.97
135,1197.4839
136,2946.8315
137,1104.3802
138,1149.6958
139,5257.3223
140,4564.6797
141,5348.0127
142,1359.2888
143,4335.5312
144,1915.7212
145,1346.9562
146,6498.9385
147,5395.388
148,2278.6511
149,2224.5825
150,3376.3928
151,1245.4921
152,5501.5615
153,3966.6265
154,4510.4067
155,1205.0892
156,2986.37
157,4272.95
158,1950.5696
159,3853.256
160,4604.4927
161,1394.4067
162,3946.7632
163,2436.2783
164,2490.5588
165,556.1846
166,2744.395
167,2488.7
168,1881.1759
169,6974.8706
170,4194.8857
171,1031.5286
172,5787.9873
173,2621.5537
174,6269.86
175,3741.7698
176,2365.875
177,1549.4938
178,1520.1224
179,1597.083
180,1752.414
181,6133.9126
182,8292.791
183,3345.3923
184,3930.649
185,3682.4385
186,1811.1427
187,7173.268
188,1737.6974
189,5103.6445
190,1590.362
191,2562.3425
192,1107.0892
193,2174.9077
194,4969.6685
195,1591.5106
196,1902.3507
197,3814.58
198,1089.3325
199,6092.2993
200,9484.259
