serial number,credit_amount
1,3164.1277
2,2186.2737
3,3388.9001
4,2460.3997
5,5227.2285
6,5634.9917
7,358.62497
8,1342.708
9,14387.443
10,788.61487
11,1829.6715
12,891.59595
13,4795.4
14,5371.002
15,3754.5183
16,5134.7383
17,1769.1608
18,2448.1296
19,7859.1177
20,1286.9487
21,1332.9576
22,1866.5654
23,4446.388
24,-128.07358
25,3453.9817
26,2062.2625
27,3673.9038
28,3744.8394
29,4594.388
30,5768.362
31,3810.734
32,933.66394
33,9162.596
34,3264.7576
35,1907.576
36,-8.113454
37,1032.4473
38,1821.0602
39,1526.8523
40,1336.7479
41,4072.0315
42,2940.0288
43,579.7356
44,2948.1292
45,2441.6904
46,4988.0903
47,3652.509
48,1704.9187
49,2684.1985
50,1341.6023
51,2407.4067
52,4054.1372
53,2872.7249
54,2309.3186
55,6495.012
56,1645.0637
57,-1334.8213
58,3855.5747
59,1726.9307
60,1855.1708
61,3096.0645
62,2679.8276
63,2095.1733
64,5157.037
65,1913.9082
66,366.95935
67,2115.1802
68,4971.4575
69,4147.2686
70,1221.5076
71,4935.7285
72,1427.0433
73,2053.7505
74,1045.2653
75,2734.8254
76,1354.2623
77,5482.653
78,3361.675
79,4230.3257
80,5824.343
81,4575.2993
82,4795.5684
83,3465.4949
84,-1316.3147
85,3630.678
86,1299.7268
87,3633.7517
88,9436.705
89,5195.261
90,4708.5786
91,7824.5625
92,1027.7979
93,1192.4564
94,6600.6304
95,3249.2876
96,7838.5483
97,3040.6438
98,2288.1028
99,3394.5718
100,3465.119
101,3779.5005
102,4049.3538
103,7143.012
104,382.7328
105,2377.746
106,3392.1196
107,3869.3328
108,5202.8203
109,3592.2214
110,3412.729
111,2646.7847
112,3274.6392
113,3884.2336
114,3433.4592
115,2489.9763
116,10203.0205
117,1660.868
118,2855.8953
119,4068.3813
120,4335.665
121,1710.7875
122,7537.763
123,902.113
124,3754.6797
125,4505.8447
126,210.28357
127,1808.3848
128,5140.7886
129,4010.552
130,321.4591
131,3715.4036
132,409.85043
133,2118.6506
134,899.56665
135,886.0252
136,3867.885
137,1450.0099
138,2031.3798
139,6693.5723
140,5610.892
141,4842.499
142,1238.4514
143,4729.6655
144,2116.0493
145,1536.8512
146,8125.286
147,4823.3604
148,3261.2466
149,2059.9868
150,3393.2393
151,1795.0967
152,6625.382
153,4366.1406
154,3886.542
155,528.7632
156,3694.9644
157,4594.89
158,1883.2288
159,4528.722
160,5189.2036
161,1249.002
162,4641.679
163,2686.2505
164,2596.0735
165,740.1425
166,2124.527
167,2100.5396
168,2942.8748
169,7836.51
170,4052.7761
171,310.05704
172,5633.896
173,3471.5593
174,5487.895
175,3745.986
176,3022.736
177,1748.113
178,1012.75226
179,1434.2638
180,2357.3018
181,6005.224
182,8852.789
183,3541.821
184,4910.032
185,4152.734
186,2071.9473
187,7464.577
188,1458.6813
189,4859.9907
190,881.7745
191,3097.2761
192,1045.9182
193,3317.6467
194,4544.954
195,1017.24457
196,2028.5948
197,4753.295
198,910.2599
199,5324.9204
200,6567.4014
