Serial Number,Deposits 2016
1048,20107
1350,20232
1520,20253
684,20536
496,20539
1052,20549
1597,20662
1043,20684
681,20755
1063,20859
1065,20913
1596,20993
1356,21047
702,21262
946,21279
1213,21541
88,21605
1367,21651
1238,21766
707,22007
1540,22134
1533,22493
1622,23111
1412,23435
1227,23670
1541,23723
725,23801
291,23891
696,23908
618,24070
984,24108
1201,24120
805,24185
608,24223
674,24405
944,24427
1149,24623
609,24775
782,24930
1371,24968
1393,25140
1585,25229
1563,25256
743,25473
985,25514
523,25546
1409,25561
1165,25591
711,25849
653,25875
1547,25937
791,26127
276,26352
969,26471
977,26755
611,26806
1384,26881
516,27161
1570,27466
1528,27773
1004,27833
1373,27848
1408,27955
1076,27991
1614,28243
704,28258
590,28267
790,28334
1351,28345
912,28355
988,28562
277,28630
759,28642
1550,28703
1433,28830
1074,28961
1391,29074
634,29147
666,29183
394,29262
1518,29408
514,29412
537,29514
296,29669
801,29719
1260,29755
990,29983
714,30020
740,30077
1073,30431
732,30450
693,30847
641,30910
730,30931
1131,30984
1549,31050
1418,31081
1529,31216
562,31240
705,31268
699,31299
1246,31382
1189,31461
658,31806
917,31899
1410,31993
1511,32083
713,32410
981,32566
631,32643
956,32645
971,32660
748,32693
303,32839
1416,32846
1069,32874
1586,33032
721,33193
1359,33249
737,33292
1575,33375
587,33556
1509,33674
953,33695
731,33742
806,33754
564,33817
761,33866
1415,33902
1062,34071
1611,34102
1000,34114
1545,34215
1595,34215
986,34342
380,34397
999,34442
974,34617
595,34710
645,34729
125,34945
1390,34987
189,35087
329,35133
692,35193
942,35228
1566,35396
733,35424
682,35487
973,35737
808,35745
615,35789
572,36086
300,36161
1608,36236
1565,36261
497,36288
749,36289
727,36298
1046,36377
1539,36496
1593,36581
676,36607
811,36723
550,36764
627,36902
306,37183
1212,37221
444,37428
621,37430
661,37474
670,37505
1464,37605
669,37688
690,37713
764,37745
1153,37748
812,37813
606,37834
275,38101
1592,38123
1363,38128
1562,38178
1148,38211
569,38348
556,38518
667,38666
1542,38724
962,38730
712,38851
1443,38912
687,38974
1572,39035
1588,39163
566,39175
1587,39260
909,39431
874,39502
81,39554
1042,39595
647,39599
316,39605
644,39616
1551,39834
1564,39950
280,39972
548,40207
630,40351
771,40457
741,40528
547,40701
568,40820
651,40901
648,41328
978,41363
744,41443
294,41499
536,41618
1535,41660
689,41715
584,41723
298,41782
1554,41844
640,42143
649,42159
694,42377
686,42379
493,42432
760,42653
643,42658
763,42680
1047,42707
989,42783
1316,42985
753,42989
1607,42992
1494,43098
952,43246
1226,43482
729,43496
976,43573
1411,43615
1617,43628
1018,43781
715,43921
1057,43990
1555,44100
1123,44168
695,44248
1420,44269
1064,44388
526,44405
1538,44408
1569,44408
392,44475
1333,44540
636,44598
809,44815
1558,44825
1177,45006
762,45012
439,45163
751,45211
1070,45380
1269,45395
511,45742
1060,45767
